DATAFLOW_ID:Dataflow ID,KEY:Timeseries Key,FREQ:Frequency,BORROWERS_CTY:Borrowers' country,TC_BORROWERS:Borrowing sector,TC_LENDERS:Lending sector,CG_DTYPE:Credit gap data type,Unit,Unit multiplier,TIME_PERIOD:Period,OBS_CONF:Confidentiality,OBS_PRE_BREAK:Pre-break value,OBS_STATUS:Status,OBS_VALUE:Value
"BIS,WS_CREDIT_GAP,1.0",Q.US.P.A.A,Q:Quarterly,US:United States,P:Private non-financial sector,A:All sectors,A:Credit-to-GDP ratios (actual data),Percentage of GDP,Units,1947-12-31,F:Free,,A:Normal value,47.1
"BIS,WS_CREDIT_GAP,1.0",Q.US.P.A.A,Q:Quarterly,US:United States,P:Private non-financial sector,A:All sectors,A:Credit-to-GDP ratios (actual data),Percentage of GDP,Units,1948-03-31,F:Free,,A:Normal value,47.6
"BIS,WS_CREDIT_GAP,1.0",Q.US.P.A.A,Q:Quarterly,US:United States,P:Private non-financial sector,A:All sectors,A:Credit-to-GDP ratios (actual data),Percentage of GDP,Units,1948-06-30,F:Free,,A:Normal value,47.9
"BIS,WS_CREDIT_GAP,1.0",Q.US.P.A.A,Q:Quarterly,US:United States,P:Private non-financial sector,A:All sectors,A:Credit-to-GDP ratios (actual data),Percentage of GDP,Units,1948-09-30,F:Free,,A:Normal value,48.0
"BIS,WS_CREDIT_GAP,1.0",Q.US.P.A.A,Q:Quarterly,US:United States,P:Private non-financial sector,A:All sectors,A:Credit-to-GDP ratios (actual data),Percentage of GDP,Units,1948-12-31,F:Free,,A:Normal value,48.6
"BIS,WS_CREDIT_GAP,1.0",Q.US.P.A.A,Q:Quarterly,US:United States,P:Private non-financial sector,A:All sectors,A:Credit-to-GDP ratios (actual data),Percentage of GDP,Units,1949-03-31,F:Free,,A:Normal value,49.2
"BIS,WS_CREDIT_GAP,1.0",Q.US.P.A.A,Q:Quarterly,US:United States,P:Private non-financial sector,A:All sectors,A:Credit-to-GDP ratios (actual data),Percentage of GDP,Units,1949-06-30,F:Free,,A:Normal value,50.2
"BIS,WS_CREDIT_GAP,1.0",Q.US.P.A.A,Q:Quarterly,US:United States,P:Private non-financial sector,A:All sectors,A:Credit-to-GDP ratios (actual data),Percentage of GDP,Units,1949-09-30,F:Free,,A:Normal value,51.5
"BIS,WS_CREDIT_GAP,1.0",Q.US.P.A.A,Q:Quarterly,US:United States,P:Private non-financial sector,A:All sectors,A:Credit-to-GDP ratios (actual data),Percentage of GDP,Units,1949-12-31,F:Free,,A:Normal value,52.9
"BIS,WS_CREDIT_GAP,1.0",Q.US.P.A.A,Q:Quarterly,US:United States,P:Private non-financial sector,A:All sectors,A:Credit-to-GDP ratios (actual data),Percentage of GDP,Units,1950-03-31,F:Free,,A:Normal value,54.7
